Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles)
5,Cuddalore,ponmani,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,500
2,Sankarapuram,ponmani,clay,50,25.0,wet,40,2,80,4,54.26,20.76,30,1200,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,200
5,Sankarapuram,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,450
1,Sankarapuram,ponmani,clay,25,12.5,dry,20,1,40,2,27.13,10.38,15,600,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,100
4,Kurinjipadi,ponmani,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,400
4,Panruti,CO_43,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,360
2,Kallakurichi,ponmani,clay,50,25.0,wet,40,2,80,4,54.26,20.76,30,1200,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,200
6,Chinnasalem,delux ponni,alluvial,150,75.0,wet,120,6,240,12,162.78,62.28,90,3600,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,480
5,Sankarapuram,ponmani,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,500
3,Kurinjipadi,ponmani,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,300
4,Kurinjipadi,ponmani,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,400
4,Chinnasalem,delux ponni,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,320
3,Cuddalore,CO_43,clay,75,37.5,wet,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,270
5,Panruti,delux ponni,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,400
6,Panruti,ponmani,alluvial,150,75.0,dry,120,6,240,12,162.78,62.28,90,3600,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,600
5,Kurinjipadi,ponmani,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,500
4,Cuddalore,delux ponni,alluvial,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,320
4,Chinnasalem,delux ponni,alluvial,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,320
5,Chinnasalem,ponmani,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,500
3,Kurinjipadi,ponmani,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,300
5,Kallakurichi,ponmani,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,500
5,Sankarapuram,delux ponni,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,400
2,Kurinjipadi,delux ponni,clay,50,25.0,dry,40,2,80,4,54.26,20.76,30,1200,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,160
5,Cuddalore,delux ponni,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
5,Kallakurichi,delux ponni,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,400
3,Sankarapuram,ponmani,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,300
4,Kurinjipadi,delux ponni,clay,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,320
5,Panruti,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,450
6,Kurinjipadi,delux ponni,clay,150,75.0,dry,120,6,240,12,162.78,62.28,90,3600,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,480
5,Panruti,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,450
5,Chinnasalem,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,450
5,Sankarapuram,ponmani,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,500
2,Panruti,CO_43,alluvial,50,25.0,dry,40,2,80,4,54.26,20.76,30,1200,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,180
4,Chinnasalem,delux ponni,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,320
2,Chinnasalem,delux ponni,clay,50,25.0,dry,40,2,80,4,54.26,20.76,30,1200,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,160
3,Kurinjipadi,ponmani,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,300
6,Chinnasalem,ponmani,alluvial,150,75.0,wet,120,6,240,12,162.78,62.28,90,3600,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,600
4,Kurinjipadi,ponmani,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,400
5,Kurinjipadi,delux ponni,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,400
5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,450
3,Kallakurichi,ponmani,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,300
4,Chinnasalem,CO_43,alluvial,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,360
5,Sankarapuram,delux ponni,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,400
1,Cuddalore,ponmani,clay,25,12.5,dry,20,1,40,2,27.13,10.38,15,600,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,100
1,Sankarapuram,ponmani,clay,25,12.5,dry,20,1,40,2,27.13,10.38,15,600,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,100
1,Cuddalore,delux ponni,alluvial,25,12.5,wet,20,1,40,2,27.13,10.38,15,600,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,80
2,Panruti,delux ponni,alluvial,50,25.0,wet,40,2,80,4,54.26,20.76,30,1200,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,160
2,Panruti,delux ponni,clay,50,25.0,wet,40,2,80,4,54.26,20.76,30,1200,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,160
5,Kallakurichi,delux ponni,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,400
3,Sankarapuram,ponmani,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,300
5,Kallakurichi,ponmani,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,500
3,Kurinjipadi,delux ponni,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,240
5,Sankarapuram,ponmani,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,500
5,Cuddalore,delux ponni,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
4,Sankarapuram,delux ponni,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,320
3,Chinnasalem,ponmani,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,300
1,Cuddalore,ponmani,clay,25,12.5,wet,20,1,40,2,27.13,10.38,15,600,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,100
6,Cuddalore,CO_43,alluvial,150,75.0,wet,120,6,240,12,162.78,62.28,90,3600,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,540
5,Kurinjipadi,ponmani,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,500
3,Kallakurichi,delux ponni,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,240
5,Panruti,ponmani,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,500
5,Kurinjipadi,CO_43,clay,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,450
4,Chinnasalem,delux ponni,alluvial,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,320
5,Cuddalore,delux ponni,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
3,Kurinjipadi,CO_43,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,270
6,Kallakurichi,CO_43,clay,150,75.0,dry,120,6,240,12,162.78,62.28,90,3600,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,540
3,Cuddalore,delux ponni,clay,75,37.5,wet,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,240
3,Chinnasalem,ponmani,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,300
3,Panruti,ponmani,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,300
4,Kallakurichi,delux ponni,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,320
4,Cuddalore,CO_43,clay,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,360
4,Sankarapuram,ponmani,clay,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,400
4,Cuddalore,ponmani,alluvial,100,50.0,wet,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
5,Chinnasalem,delux ponni,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,400
5,Chinnasalem,ponmani,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31,15.5,34,15.0,33.0,15.0,31.5,6,6,8,10,E,ENE,NE,NNW,78.6,80,92,88,500
1,Kallakurichi,ponmani,alluvial,25,12.5,wet,20,1,40,2,27.13,10.38,15,600,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,100
4,Kurinjipadi,delux ponni,alluvial,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,320
1,Sankarapuram,ponmani,alluvial,25,12.5,wet,20,1,40,2,27.13,10.38,15,600,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,100
4,Panruti,ponmani,alluvial,100,50.0,dry,80,4,160,8,108.52,41.52,60,2400,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,400
5,Cuddalore,delux ponni,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
5,Sankarapuram,CO_43,alluvial,125,62.5,dry,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,450
3,Kurinjipadi,ponmani,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,300
3,Panruti,delux ponni,clay,75,37.5,wet,60,3,120,6,81.39,31.14,45,1800,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,240
3,Cuddalore,delux ponni,clay,75,37.5,wet,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,240
5,Sankarapuram,CO_43,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,450
5,Panruti,CO_43,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35,18.0,30,17.5,33.5,18.0,33.0,4,12,4,12,ENE,NE,NNE,W,85.0,96,84,79,450
2,Kallakurichi,ponmani,clay,50,25.0,dry,40,2,80,4,54.26,20.76,30,1200,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,200
5,Kallakurichi,ponmani,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33,17.0,32,16.5,31.5,15.5,32.5,8,6,8,6,W,WNW,SE,S,88.5,95,81,84,500
5,Cuddalore,ponmani,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,500
2,Sankarapuram,delux ponni,clay,50,25.0,dry,40,2,80,4,54.26,20.76,30,1200,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,160
3,Cuddalore,delux ponni,clay,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,240
5,Sankarapuram,delux ponni,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32,17.5,28,18.0,34.0,16.5,35.0,10,12,10,12,SSE,W,SW,NW,72.7,91,83,81,400
5,Cuddalore,delux ponni,clay,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
3,Kurinjipadi,CO_43,alluvial,75,37.5,dry,60,3,120,6,81.39,31.14,45,1800,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34,18.5,35,17.0,32.5,16.0,30.5,10,4,10,6,NW,S,SE,SSE,64.6,85,84,87,270
5,Cuddalore,delux ponni,alluvial,125,62.5,wet,100,5,200,10,135.65,51.9,75,3000,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34,16.0,30,15.5,31.0,16.0,33.0,4,10,8,10,SW,W,NNW,WSW,72.0,78,88,85,400
